agent,execution,success,steps,path_cost,explored_states,total_reward,execution_time_seconds
A*,1,True,18,18,79,82,0.00032848399996510125
Aleatório,1,True,122,122,0,-21,0.00036134599986326066
A*,2,True,18,18,79,82,0.0002752300001702679
Aleatório,2,False,300,300,0,-300,0.002970440999888524
A*,3,True,18,18,79,82,0.00026435800009494415
Aleatório,3,False,300,300,0,-300,0.0009210610000991437
A*,4,True,18,18,79,82,0.00028423200001270743
Aleatório,4,False,300,300,0,-300,0.001122786999985692
A*,5,True,18,18,79,82,0.0003071030000683095
Aleatório,5,True,240,240,0,-139,0.0009256759999516362
A*,6,True,18,18,79,82,0.0003094740000051388
Aleatório,6,True,284,284,0,-183,0.0008903830002964241
A*,7,True,18,18,79,82,0.00025064700002985774
Aleatório,7,True,294,294,0,-193,0.0009331649998784997
A*,8,True,18,18,79,82,0.0003054300000258081
Aleatório,8,False,300,300,0,-300,0.0008350909997716371
A*,9,True,18,18,79,82,0.00020544100016195443
Aleatório,9,False,300,300,0,-300,0.0007838739998078381
A*,10,True,18,18,79,82,0.00020642900017264765
Aleatório,10,False,300,300,0,-300,0.0008141860002979229
A*,11,True,18,18,79,82,0.0002382809998380253
Aleatório,11,False,300,300,0,-300,0.0008431760002167721
A*,12,True,18,18,79,82,0.00021322500015230617
Aleatório,12,False,300,300,0,-300,0.001021539999783272
A*,13,True,18,18,79,82,0.00030082200009928783
Aleatório,13,False,300,300,0,-300,0.0012740549996124173
A*,14,True,18,18,79,82,0.00034762199993565446
Aleatório,14,True,80,80,0,21,0.0003297309999652498
A*,15,True,18,18,79,82,0.0003477569998722174
Aleatório,15,False,300,300,0,-300,0.0011341770000399265
A*,16,True,18,18,79,82,0.0002286890003233566
Aleatório,16,False,300,300,0,-300,0.000791974000094342
A*,17,True,18,18,79,82,0.00020387900030982564
Aleatório,17,True,176,176,0,-75,0.0005325689999153838
A*,18,True,18,18,79,82,0.0002970370001094125
Aleatório,18,False,300,300,0,-300,0.0012380680000205757
A*,19,True,18,18,79,82,0.0003308750001451699
Aleatório,19,True,154,154,0,-53,0.0008052410003074328
A*,20,True,18,18,79,82,0.00034180400007244316
Aleatório,20,False,300,300,0,-300,0.001008413999898039
A*,21,True,18,18,79,82,0.00021016499977122294
Aleatório,21,False,300,300,0,-300,0.0010061610000775545
A*,22,True,18,18,79,82,0.00021030500010965625
Aleatório,22,False,300,300,0,-300,0.001238596999883157
A*,23,True,18,18,79,82,0.00021746600032201968
Aleatório,23,False,300,300,0,-300,0.0009820559998843237
A*,24,True,18,18,79,82,0.00021660200036421884
Aleatório,24,False,300,300,0,-300,0.0008253340001829201
A*,25,True,18,18,79,82,0.0002042549999714538
Aleatório,25,False,300,300,0,-300,0.0008456999998998072
A*,26,True,18,18,79,82,0.00022787600028095767
Aleatório,26,False,300,300,0,-300,0.0008411170001636492
A*,27,True,18,18,79,82,0.00020096599973840057
Aleatório,27,False,300,300,0,-300,0.0007840210000722436
A*,28,True,18,18,79,82,0.0003090410000368138
Aleatório,28,False,300,300,0,-300,0.0013507620001291798
A*,29,True,18,18,79,82,0.000424109000050521
Aleatório,29,False,300,300,0,-300,0.0014319060001071193
A*,30,True,18,18,79,82,0.0003673989999697369
Aleatório,30,True,248,248,0,-147,0.001174329999685142
